ifoutDiscards11,ifInDiscards11,ipOutDiscards,ipInDiscards,icmpOutDestUnreachs,class
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
0,0,569,23,23,normal
